564,250,3
889,343,29
802,123,50
624,498,72
59,22,74
827,252,83
507,280,98
125,256,100
962,181,108
229,107,110
162,278,115
512,191,135
407,509,136
747,578,138
443,84,156
75,192,159
995,393,166
527,459,194
990,321,207
347,542,249
645,405,259
457,336,270
327,180,275
828,50,278
138,170,282
727,224,289
267,24,299
445,36,300
341,472,303
631,489,311
340,222,324
756,168,325
829,99,331
501,485,343
91,168,363
329,205,378
388,392,378
831,518,382
752,342,385
603,401,391
716,188,394
614,583,398
495,578,405
430,588,405
442,285,408
32,204,447
935,363,451
636,120,470
138,253,471
897,188,475
859,265,476
274,281,477
349,293,482
155,60,496
172,236,507
887,181,518
125,402,566
697,593,572
114,336,584
694,196,589
476,83,594
194,144,612
967,565,614
183,503,615
444,106,623
914,309,624
18,235,662
954,399,667
645,358,697
125,520,701
993,263,702
413,524,745
133,313,749
233,63,751
32,193,753
528,436,770
333,166,794
970,549,795
646,224,812
552,410,813
600,255,815
763,39,827
399,574,830
841,262,838
641,59,856
603,330,866
504,379,868
141,84,872
169,46,894
658,511,911
877,497,923
913,46,937
441,205,943
640,166,950
589,268,955
718,70,960
87,352,971
94,579,983
670,592,987
940,475,992
